datetime;AL
2020-03-22;15.535119324214538
2020-03-23;7.577751375135893
2020-03-24;5.255545618016933
2020-03-25;3.610191075077262
2020-03-26;1.5205354659413615
2020-03-27;1.0158902064214477
2020-03-28;1.0052180672516442
2020-03-29;1.1717363049895122
2020-03-30;1.25755969266397
2020-03-31;0.930259802765839
2020-04-01;0.938254979432748
2020-04-02;5.1373007448046435
2020-04-03;7.723420516870425
2020-04-04;6.914607495590807
2020-04-05;13.761666591055256
2020-04-06;13.251626092479677
2020-04-07;12.491805980480175
2020-04-08;10.17385144191097
2020-04-09;5.101406618910481
2020-04-10;10.685281912781068
2020-04-11;3.887446232414748
2020-04-12;4.787291955018394
2020-04-13;5.696360857355911
2020-04-14;17.820778748002365
2020-04-15;12.303518027103296
2020-04-16;13.330053008051701
2020-04-17;11.951658464031846
2020-04-18;9.598722027419647
2020-04-19;10.941323141448144
2020-04-20;5.727230138213353
2020-04-21;4.474000340134028
2020-04-22;4.630231369243973
2020-04-23;7.978770079120615
2020-04-24;7.9076238127590415
2020-04-25;6.2174124484500295
2020-04-26;4.269876532662489
2020-04-27;3.2118077408467265
2020-04-28;3.934269843474995
2020-04-29;3.01339418015894
2020-04-30;3.532314053984437
2020-05-01;1.7561641473295178
2020-05-02;1.5529546392131544
2020-05-03;5.815124695495318
2020-05-04;3.2094585834687925
2020-05-05;2.609238539572043
2020-05-06;4.390756107728459
2020-05-07;5.529047634440823
2020-05-08;5.103764273701013
2020-05-09;7.6660030906261065
2020-05-10;9.718782638659254
2020-05-11;11.834291595921842
2020-05-12;11.692776684197057
2020-05-13;15.12061521491585
2020-05-14;14.989295367647653
2020-05-15;9.679067280239039
2020-05-16;9.502349568948745
2020-05-17;8.240737432478085
2020-05-18;8.308987991756926
2020-05-19;7.950843708739445
2020-05-20;8.935322150290718
2020-05-21;8.824345803751932
2020-05-22;8.676661303698545
2020-05-23;8.806018224961605
