datetime;RN
2020-03-27;3.302129521652234
2020-03-28;7.880029598790497
2020-03-29;8.27564469943498
2020-03-30;4.0207563330919385
2020-03-31;2.311468790552862
2020-04-01;1.8693344177432019
2020-04-02;1.9418852301570066
2020-04-03;2.2056371093042233
2020-04-04;3.5699831540354103
2020-04-05;2.756819080062677
2020-04-06;3.050315998523512
2020-04-07;1.2573440061340615
2020-04-08;1.0457155729471566
2020-04-09;0.888888888905842
2020-04-10;0.8888888888888892
2020-04-11;1.0946599242845845
2020-04-12;8.008889917866666
2020-04-13;10.25053576607286
2020-04-14;14.463450512786801
2020-04-15;14.778631491441638
2020-04-16;20.834724283096023
2020-04-17;17.211176500926918
2020-04-18;18.43001057174151
2020-04-19;23.946557786957676
2020-04-20;18.551904021243494
2020-04-21;7.98446876101407
2020-04-22;7.661718013623345
2020-04-23;7.937425449390676
2020-04-24;8.454556707699844
2020-04-25;9.53459028442197
2020-04-26;11.003460748967164
2020-04-27;13.807934240828292
2020-04-28;17.770036713512155
2020-04-29;13.6195907280901
2020-04-30;23.184617239589947
2020-05-01;16.35432616069359
2020-05-02;13.584697660963608
2020-05-03;8.811922844256603
2020-05-04;8.163142153524557
2020-05-05;9.201400349491106
2020-05-06;11.235498217344476
2020-05-07;11.53490797245911
2020-05-08;12.581549300871758
2020-05-09;14.224725776148345
2020-05-10;17.777777777778645
2020-05-11;17.777777777779075
2020-05-12;18.04737276040955
2020-05-13;17.777777777778933
2020-05-14;19.31848273559977
2020-05-15;21.094090837750155
2020-05-16;23.291687823613497
2020-05-17;13.216324391495371
2020-05-18;10.52955678823794
2020-05-19;10.277404918082738
2020-05-20;9.854185268533378
2020-05-21;9.289323419712206
2020-05-22;9.605690868220323
2020-05-23;9.613919371854063
