datetime;SC
2020-03-27;0.7952427301334843
2020-03-28;0.732634288827791
2020-03-29;0.9442480617767357
2020-03-30;1.8646491968866608
2020-03-31;1.8485208626571037
2020-04-01;2.2400933152473206
2020-04-02;2.912724675472707
2020-04-03;6.987312090393106
2020-04-04;2.2909433703733724
2020-04-05;1.654751470157077
2020-04-06;1.4988782144879718
2020-04-07;0.7226430740280048
2020-04-08;1.386149517685955
2020-04-09;1.3218201342512899
2020-04-10;1.4589184780114541
2020-04-11;1.4786507779501061
2020-04-12;1.3437466178290967
2020-04-13;0.5343569565707877
2020-04-14;1.6689057031941168
2020-04-15;1.5366471056499789
2020-04-16;
2020-04-17;1.7428746106849982
2020-04-18;1.8340475515062158
2020-04-19;1.4729254270173024
2020-04-20;2.6838966948215077
